dataset,config,k,seed,f1
Ecore-555,LLM(NL+NA),3,5,0.9642018833443095
Ecore-555,LLM(NL+NA),3,6,0.9511953525190744
Ecore-555,LLM(NL+NA),3,7,0.9465287294583701
Ecore-555,LLM(NL+NA),3,8,0.9660231664424446
Ecore-555,LLM(NL+NA),3,9,0.9669463828139072
Ecore-555,LLM(NL+NA+NT),0,0,0.9223306530044412
Ecore-555,LLM(NL+NA+NT),0,1,0.9135209155897213
Ecore-555,LLM(NL+NA+NT),0,2,0.9226608548987993
Ecore-555,LLM(NL+NA+NT),0,3,0.9199837963293929
Ecore-555,LLM(NL+NA+NT),0,4,0.9265386580857226
Ecore-555,LLM(NL+NA+NT),0,5,0.9077579833068019
Ecore-555,LLM(NL+NA+NT),0,6,0.9200463469492509
Ecore-555,LLM(NL+NA+NT),0,7,0.917568425362005
Ecore-555,LLM(NL+NA+NT),0,8,0.9090128465681733
Ecore-555,LLM(NL+NA+NT),0,9,0.9209408342446752
Ecore-555,LLM(NL+NA+NT),1,0,0.9723142605229105
Ecore-555,LLM(NL+NA+NT),1,1,0.968306771996001
Ecore-555,LLM(NL+NA+NT),1,2,0.9755642587489735
Ecore-555,LLM(NL+NA+NT),1,3,0.9592308269034348
Ecore-555,LLM(NL+NA+NT),1,4,0.9715172238614562
Ecore-555,LLM(NL+NA+NT),1,5,0.9758827274920109
Ecore-555,LLM(NL+NA+NT),1,6,0.974556160723131
Ecore-555,LLM(NL+NA+NT),1,7,0.9816878500376215
Ecore-555,LLM(NL+NA+NT),1,8,0.9611899868323619
Ecore-555,LLM(NL+NA+NT),1,9,0.9584290761783053
Ecore-555,LLM(NL+NA+NT),2,0,0.8761516096785243
Ecore-555,LLM(NL+NA+NT),2,1,0.878096372746924
Ecore-555,LLM(NL+NA+NT),2,2,0.8930784141385918
Ecore-555,LLM(NL+NA+NT),2,3,0.8795495122858625
Ecore-555,LLM(NL+NA+NT),2,4,0.8661344653236772
Ecore-555,LLM(NL+NA+NT),2,5,0.881254267614116
Ecore-555,LLM(NL+NA+NT),2,6,0.8663893286702795
Ecore-555,LLM(NL+NA+NT),2,7,0.8606274764890939
Ecore-555,LLM(NL+NA+NT),2,8,0.8974819079174128
Ecore-555,LLM(NL+NA+NT),2,9,0.8769324284145767
Ecore-555,LLM(NL+NA+NT),3,0,0.9374345556862649
Ecore-555,LLM(NL+NA+NT),3,1,0.9360719522742791
Ecore-555,LLM(NL+NA+NT),3,2,0.9473086909668057
Ecore-555,LLM(NL+NA+NT),3,3,0.9335569586482757
Ecore-555,LLM(NL+NA+NT),3,4,0.9419592822941164
Ecore-555,LLM(NL+NA+NT),3,5,0.9217544453500177
Ecore-555,LLM(NL+NA+NT),3,6,0.9184705510850671
Ecore-555,LLM(NL+NA+NT),3,7,0.9438390130922284
Ecore-555,LLM(NL+NA+NT),3,8,0.944273737465681
Ecore-555,LLM(NL+NA+NT),3,9,0.935596532337822
Ecore-555,LLM(NL+NA+NT+EL),1,0,0.8900345985334916
Ecore-555,LLM(NL+NA+NT+EL),1,1,0.8894955893518756
Ecore-555,LLM(NL+NA+NT+EL),1,2,0.8818065471440909
Ecore-555,LLM(NL+NA+NT+EL),1,3,0.9018477410998776
Ecore-555,LLM(NL+NA+NT+EL),1,4,0.8939299273334864
Ecore-555,LLM(NL+NA+NT+EL),1,5,0.8925531490005199
Ecore-555,LLM(NL+NA+NT+EL),1,6,0.8913851274072462
Ecore-555,LLM(NL+NA+NT+EL),1,7,0.8974312153922118
Ecore-555,LLM(NL+NA+NT+EL),1,8,0.8925450476987749
Ecore-555,LLM(NL+NA+NT+EL),1,9,0.8947082379263208
Ecore-555,LLM(NL+NA+NT+EL),2,0,0.8634796221261288
Ecore-555,LLM(NL+NA+NT+EL),2,1,0.8785902969861742
Ecore-555,LLM(NL+NA+NT+EL),2,2,0.8936848135995265
Ecore-555,LLM(NL+NA+NT+EL),2,3,0.8693332929527586
Ecore-555,LLM(NL+NA+NT+EL),2,4,0.872840540184335
Ecore-555,LLM(NL+NA+NT+EL),2,5,0.8820274933801903
Ecore-555,LLM(NL+NA+NT+EL),2,6,0.8826157284904512
Ecore-555,LLM(NL+NA+NT+EL),2,7,0.879619843827932
Ecore-555,LLM(NL+NA+NT+EL),2,8,0.8594415976316461
Ecore-555,LLM(NL+NA+NT+EL),2,9,0.8785155724724607
Ecore-555,LLM(NL+NA+NT+EL),3,0,0.9253469293662586
Ecore-555,LLM(NL+NA+NT+EL),3,1,0.9285776827352578
Ecore-555,LLM(NL+NA+NT+EL),3,2,0.940932484076146
Ecore-555,LLM(NL+NA+NT+EL),3,3,0.9333375828879595
Ecore-555,LLM(NL+NA+NT+EL),3,4,0.94328660621743
Ecore-555,LLM(NL+NA+NT+EL),3,5,0.9643332478837577
Ecore-555,LLM(NL+NA+NT+EL),3,6,0.9429946204534555
Ecore-555,LLM(NL+NA+NT+EL),3,7,0.9425056738771302
Ecore-555,LLM(NL+NA+NT+EL),3,8,0.9279384526893839
Ecore-555,LLM(NL+NA+NT+EL),3,9,0.9302133215391137
Ecore-555,LLM(NL+NA+NT+EL+ET),1,0,0.8484270430210401
Ecore-555,LLM(NL+NA+NT+EL+ET),1,1,0.8532066374712644
Ecore-555,LLM(NL+NA+NT+EL+ET),1,2,0.8481742314966292
Ecore-555,LLM(NL+NA+NT+EL+ET),1,3,0.852062789846405
Ecore-555,LLM(NL+NA+NT+EL+ET),1,4,0.856121503482138
Ecore-555,LLM(NL+NA+NT+EL+ET),1,5,0.8489948351882532
Ecore-555,LLM(NL+NA+NT+EL+ET),1,6,0.8452281260913381
Ecore-555,LLM(NL+NA+NT+EL+ET),1,7,0.8457468282788015
Ecore-555,LLM(NL+NA+NT+EL+ET),1,8,0.8620852900115435
Ecore-555,LLM(NL+NA+NT+EL+ET),1,9,0.8585377187822576
Ecore-555,LLM(NL+NA+NT+EL+ET),2,0,0.8602334629548336
Ecore-555,LLM(NL+NA+NT+EL+ET),2,1,0.8603999529662048
Ecore-555,LLM(NL+NA+NT+EL+ET),2,2,0.8479342497024418
Ecore-555,LLM(NL+NA+NT+EL+ET),2,3,0.8570303921696408
Ecore-555,LLM(NL+NA+NT+EL+ET),2,4,0.838035315080973
Ecore-555,LLM(NL+NA+NT+EL+ET),2,5,0.8715472118333454
Ecore-555,LLM(NL+NA+NT+EL+ET),2,6,0.8617586386926916
Ecore-555,LLM(NL+NA+NT+EL+ET),2,7,0.8490646994434285
Ecore-555,LLM(NL+NA+NT+EL+ET),2,8,0.8405312050930692
Ecore-555,LLM(NL+NA+NT+EL+ET),2,9,0.8544204371948176
Ecore-555,LLM(NL+NA+NT+EL+ET),3,0,0.85616933824365
Ecore-555,LLM(NL+NA+NT+EL+ET),3,1,0.8659862780750428
Ecore-555,LLM(NL+NA+NT+EL+ET),3,2,0.8797388180310408
Ecore-555,LLM(NL+NA+NT+EL+ET),3,3,0.8736790410008464
Ecore-555,LLM(NL+NA+NT+EL+ET),3,4,0.8685813174224069
Ecore-555,LLM(NL+NA+NT+EL+ET),3,5,0.881556656212232
Ecore-555,LLM(NL+NA+NT+EL+ET),3,6,0.8636522939019473
Ecore-555,LLM(NL+NA+NT+EL+ET),3,7,0.875562305542459
Ecore-555,LLM(NL+NA+NT+EL+ET),3,8,0.8685190304879763
Ecore-555,LLM(NL+NA+NT+EL+ET),3,9,0.8653736658886525
Ecore-555,GNN(R),0,0,0.2932679151990086
Ecore-555,GNN(R),0,1,0.26414241131738847
Ecore-555,GNN(R),0,2,0.3220401289748983
Ecore-555,GNN(R),0,3,0.27230566309064
Ecore-555,GNN(R),0,4,0.32379639965949863
Ecore-555,GNN(R),0,5,0.2621205842135364
Ecore-555,GNN(R),0,6,0.29611902836658266
Ecore-555,GNN(R),0,7,0.2600084861671615
Ecore-555,GNN(R),0,8,0.2571776538423841
Ecore-555,GNN(R),0,9,0.28719410686147345
Ecore-555,GNN(R),1,0,0.2885511766042285
Ecore-555,GNN(R),1,1,0.24951474093218354
Ecore-555,GNN(R),1,2,0.29868294134414103
Ecore-555,GNN(R),1,3,0.25904801970047125
Ecore-555,GNN(R),1,4,0.2776244538012991
Ecore-555,GNN(R),1,5,0.2825955771950248
Ecore-555,GNN(R),1,6,0.2868936336292309
Ecore-555,GNN(R),1,7,0.2390437560097214
Ecore-555,GNN(R),1,8,0.3073712523556648
Ecore-555,GNN(R),1,9,0.28623586203322043
Ecore-555,GNN(R),2,0,0.27548813038266134
Ecore-555,GNN(R),2,1,0.2635169219442
Ecore-555,GNN(R),2,2,0.2501185694143383
Ecore-555,GNN(R),2,3,0.2567715356781871
Ecore-555,GNN(R),2,4,0.2948987695814113
Ecore-555,GNN(R),2,5,0.2771785342947337
Ecore-555,GNN(R),2,6,0.2613696810046309
Ecore-555,GNN(R),2,7,0.2734613006895837
Ecore-555,GNN(R),2,8,0.3152822508097321
Ecore-555,GNN(R),2,9,0.27738650199209297
Ecore-555,GNN(R),3,0,0.26331103509041964
Ecore-555,GNN(R),3,1,0.30201212136372796
Ecore-555,GNN(R),3,2,0.2842378338464767
Ecore-555,GNN(R),3,3,0.2758856165817196
Ecore-555,GNN(R),3,4,0.26284436213122336
Ecore-555,GNN(R),3,5,0.24395178436708925
Ecore-555,GNN(R),3,6,0.25158914957022216
Ecore-555,GNN(R),3,7,0.26539076795119954
Ecore-555,GNN(R),3,8,0.2706074859919587
Ecore-555,GNN(R),3,9,0.2821248456805488
Ecore-555,GNN(FTLM(NL)),0,0,0.8759658825461034
Ecore-555,GNN(FTLM(NL)),0,1,0.873006294035472
Ecore-555,GNN(FTLM(NL)),0,2,0.8729836765462897
Ecore-555,GNN(FTLM(NL)),0,3,0.8619322777755257
Ecore-555,GNN(FTLM(NL)),0,4,0.8516072055114025
Ecore-555,GNN(FTLM(NL)),0,5,0.8663121175735977
Ecore-555,GNN(FTLM(NL)),0,6,0.8624126569916145
Ecore-555,GNN(FTLM(NL)),0,7,0.865126357427128
Ecore-555,GNN(FTLM(NL)),0,8,0.8685290142236258
Ecore-555,GNN(FTLM(NL)),0,9,0.859807536322921
Ecore-555,GNN(FTLM(NL)),1,0,0.9250054062044618
Ecore-555,GNN(FTLM(NL)),1,1,0.9340971464199676
Ecore-555,GNN(FTLM(NL)),1,2,0.9360419347038474
Ecore-555,GNN(FTLM(NL)),1,3,0.9290960154987649
Ecore-555,GNN(FTLM(NL)),1,4,0.9394845656188833
Ecore-555,GNN(FTLM(NL)),1,5,0.9330249075888248
Ecore-555,GNN(FTLM(NL)),1,6,0.9258207822120753
Ecore-555,GNN(FTLM(NL)),1,7,0.9353665760113271
Ecore-555,GNN(FTLM(NL)),1,8,0.9519417222648717
Ecore-555,GNN(FTLM(NL)),1,9,0.9289256641971172
Ecore-555,GNN(FTLM(NL)),2,0,0.9724952577351049
Ecore-555,GNN(FTLM(NL)),2,1,0.9743999830331715
Ecore-555,GNN(FTLM(NL)),2,2,0.9754834544099908
Ecore-555,GNN(FTLM(NL)),2,3,0.9545963478703883
Ecore-555,GNN(FTLM(NL)),2,4,0.9801383653823413
Ecore-555,GNN(FTLM(NL)),2,5,0.9630471451244559
Ecore-555,GNN(FTLM(NL)),2,6,0.9597158998396176
Ecore-555,GNN(FTLM(NL)),2,7,0.9599268687649755
Ecore-555,GNN(FTLM(NL)),2,8,0.9674141618578723
Ecore-555,GNN(FTLM(NL)),2,9,0.9624601477938228
Ecore-555,GNN(FTLM(NL)),3,0,0.966407929873592
Ecore-555,GNN(FTLM(NL)),3,1,0.9795523002435146
Ecore-555,GNN(FTLM(NL)),3,2,0.9614951359600588
Ecore-555,GNN(FTLM(NL)),3,3,0.9586117046376064
Ecore-555,GNN(FTLM(NL)),3,4,0.9751379458938665
Ecore-555,GNN(FTLM(NL)),3,5,0.9743323764271496
Ecore-555,GNN(FTLM(NL)),3,6,0.9778457978198336
Ecore-555,GNN(FTLM(NL)),3,7,0.9583502021627798
Ecore-555,GNN(FTLM(NL)),3,8,0.9777325231316506
Ecore-555,GNN(FTLM(NL)),3,9,0.9723381919227003
Ecore-555,GNN(FTLM(NL+NA)),0,0,0.9938631789198503
Ecore-555,GNN(FTLM(NL+NA)),0,1,0.9667654110550352
Ecore-555,GNN(FTLM(NL+NA)),0,2,0.9799641631366794
Ecore-555,GNN(FTLM(NL+NA)),0,3,0.9755018932247156
Ecore-555,GNN(FTLM(NL+NA)),0,4,0.9636921067008586
Ecore-555,GNN(FTLM(NL+NA)),0,5,0.9715660085509202
Ecore-555,GNN(FTLM(NL+NA)),0,6,0.9881435773599099
Ecore-555,GNN(FTLM(NL+NA)),0,7,0.9737793538991083
Ecore-555,GNN(FTLM(NL+NA)),0,8,0.9714966220981157
Ecore-555,GNN(FTLM(NL+NA)),0,9,0.9858143435269862
Ecore-555,GNN(FTLM(NL+NA)),1,0,0.9948998900629965
Ecore-555,GNN(FTLM(NL+NA)),1,1,0.9948810555765182
Ecore-555,GNN(FTLM(NL+NA)),1,2,0.9788927596276271
Ecore-555,GNN(FTLM(NL+NA)),1,3,0.9854779212236823
Ecore-555,GNN(FTLM(NL+NA)),1,4,0.9952759322577224
Ecore-555,GNN(FTLM(NL+NA)),1,5,0.9800956928403606
Ecore-555,GNN(FTLM(NL+NA)),1,6,0.9792560194610948
Ecore-555,GNN(FTLM(NL+NA)),1,7,0.9934540877928144
Ecore-555,GNN(FTLM(NL+NA)),1,8,1.0
Ecore-555,GNN(FTLM(NL+NA)),1,9,0.9756313273050621
Ecore-555,GNN(FTLM(NL+NA)),2,0,0.9506218842627391
Ecore-555,GNN(FTLM(NL+NA)),2,1,0.960947151974681
Ecore-555,GNN(FTLM(NL+NA)),2,2,0.9648879279638722
Ecore-555,GNN(FTLM(NL+NA)),2,3,0.9727609097137326
Ecore-555,GNN(FTLM(NL+NA)),2,4,0.9795426428676974
Ecore-555,GNN(FTLM(NL+NA)),2,5,0.972681489314213
Ecore-555,GNN(FTLM(NL+NA)),2,6,0.9676969443543121
Ecore-555,GNN(FTLM(NL+NA)),2,7,0.9753803271739482
Ecore-555,GNN(FTLM(NL+NA)),2,8,0.9653431542212938
Ecore-555,GNN(FTLM(NL+NA)),2,9,0.9735777169241262
Ecore-555,GNN(FTLM(NL+NA)),3,0,0.9802258838426023
Ecore-555,GNN(FTLM(NL+NA)),3,1,1.0
Ecore-555,GNN(FTLM(NL+NA)),3,2,0.9933510824608232
Ecore-555,GNN(FTLM(NL+NA)),3,3,0.9784848701764763
Ecore-555,GNN(FTLM(NL+NA)),3,4,0.9770275921154548
Ecore-555,GNN(FTLM(NL+NA)),3,5,0.9820563960820174
Ecore-555,GNN(FTLM(NL+NA)),3,6,0.9711961239290083
Ecore-555,GNN(FTLM(NL+NA)),3,7,0.979425549847595
Ecore-555,GNN(FTLM(NL+NA)),3,8,0.979355955946247
Ecore-555,GNN(FTLM(NL+NA)),3,9,0.993955331203749
Ecore-555,GNN(FTLM(NL+NA+NT)),0,0,0.9741605971543155
Ecore-555,GNN(FTLM(NL+NA+NT)),0,1,0.9708850879701759
Ecore-555,GNN(FTLM(NL+NA+NT)),0,2,0.9659358074547131
Ecore-555,GNN(FTLM(NL+NA+NT)),0,3,0.9674102530573825
Ecore-555,GNN(FTLM(NL+NA+NT)),0,4,0.9774027955500303
Ecore-555,GNN(FTLM(NL+NA+NT)),0,5,0.9760638380717267
Ecore-555,GNN(FTLM(NL+NA+NT)),0,6,0.9882082646491349
Ecore-555,GNN(FTLM(NL+NA+NT)),0,7,0.9723378245044157
Ecore-555,GNN(FTLM(NL+NA+NT)),0,8,0.9875326585788688
Ecore-555,GNN(FTLM(NL+NA+NT)),0,9,0.9803141368096506
Ecore-555,GNN(FTLM(NL+NA+NT)),1,0,0.9569582788150316
Ecore-555,GNN(FTLM(NL+NA+NT)),1,1,0.9389252616447872
Ecore-555,GNN(FTLM(NL+NA+NT)),1,2,0.9453894763350708
Ecore-555,GNN(FTLM(NL+NA+NT)),1,3,0.963672859699583
Ecore-555,GNN(FTLM(NL+NA+NT)),1,4,0.9695803787611049
Ecore-555,GNN(FTLM(NL+NA+NT)),1,5,0.9588580392465613
Ecore-555,GNN(FTLM(NL+NA+NT)),1,6,0.9638627458339936
Ecore-555,GNN(FTLM(NL+NA+NT)),1,7,0.9533305007227147
Ecore-555,GNN(FTLM(NL+NA+NT)),1,8,0.9536578416530307
Ecore-555,GNN(FTLM(NL+NA+NT)),1,9,0.9510333363861392
Ecore-555,GNN(FTLM(NL+NA+NT)),2,0,0.9947722889279824
Ecore-555,GNN(FTLM(NL+NA+NT)),2,1,0.9890851764656617
Ecore-555,GNN(FTLM(NL+NA+NT)),2,2,0.983892476152107
Ecore-555,GNN(FTLM(NL+NA+NT)),2,3,0.9830444786174977
Ecore-555,GNN(FTLM(NL+NA+NT)),2,4,0.9910085502778566
Ecore-555,GNN(FTLM(NL+NA+NT)),2,5,0.9889080398999823
Ecore-555,GNN(FTLM(NL+NA+NT)),2,6,0.9785116223122183
Ecore-555,GNN(FTLM(NL+NA+NT)),2,7,1.0
Ecore-555,GNN(FTLM(NL+NA+NT)),2,8,0.9883132602828675
Ecore-555,GNN(FTLM(NL+NA+NT)),2,9,0.986094311938465
Ecore-555,GNN(FTLM(NL+NA+NT)),3,0,0.9562955710656631
Ecore-555,GNN(FTLM(NL+NA+NT)),3,1,0.9522161529785542
Ecore-555,GNN(FTLM(NL+NA+NT)),3,2,0.9422082982727833
Ecore-555,GNN(FTLM(NL+NA+NT)),3,3,0.947823866630757
Ecore-555,GNN(FTLM(NL+NA+NT)),3,4,0.9333701950615814
Ecore-555,GNN(FTLM(NL+NA+NT)),3,5,0.9372324136902845
Ecore-555,GNN(FTLM(NL+NA+NT)),3,6,0.9226570169774456
Ecore-555,GNN(FTLM(NL+NA+NT)),3,7,0.9539833032143407
Ecore-555,GNN(FTLM(NL+NA+NT)),3,8,0.9259142968884821
Ecore-555,GNN(FTLM(NL+NA+NT)),3,9,0.949131477105521
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,0,0.900523907987513
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,1,0.8991892567896418
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,2,0.9062447221215147
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,3,0.910397709617764
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,4,0.9135089583128028
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,5,0.9239446851649498
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,6,0.9112275265199448
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,7,0.9159307582675648
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,8,0.902613598911385
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),1,9,0.9144234918130046
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,0,0.9513794187772713
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,1,0.9458313421645829
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,2,0.9491361861580948
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,3,0.9494415040790855
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,4,0.9517200732727458
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,5,0.9536125206103263
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,6,0.9454199866634588
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,7,0.9433330389991418
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,8,0.9567272442645747
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),2,9,0.9347310409097067
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,0,0.9804361401425551
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,1,0.9999735583647116
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,2,0.9616352207730483
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,3,0.9797625318042896
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,4,0.9921894745040326
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,5,0.9711471091603304
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,6,1.0
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,7,0.9627043677794046
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,8,0.9989290350597926
Ecore-555,GNN(FTLM(NL+NA+NT+EL)),3,9,1.0
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,0,0.9002471712932462
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,1,0.890005729850799
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,2,0.8952146038236921
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,3,0.8839247509882334
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,4,0.8992839219323218
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,5,0.8819212157909097
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,6,0.8895351345979655
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,7,0.9009662435170239
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,8,0.8819712738430058
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),1,9,0.888721582992756
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,0,0.9604783834298157
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,1,0.9469239049411821
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,2,0.9694793524737495
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,3,0.9620669668155998
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,4,0.9453596902304852
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,5,0.9585772777034247
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,6,0.9520219834565081
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,7,0.953081978301108
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,8,0.9596907031712255
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),2,9,0.9526127817101101
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,0,0.9476806045794101
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,1,0.9326580732998039
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,2,0.9478353886499777
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,3,0.9386061648966645
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,4,0.9467019181978735
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,5,0.9341279880781506
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,6,0.9344524444762495
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,7,0.9286278124111786
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,8,0.9442018094072686
Ecore-555,GNN(FTLM(NL+NA+NT+EL+ET)),3,9,0.9474401572817736
ModelSet,LLM(NL),0,0,0.7680726970647673
ModelSet,LLM(NL),0,1,0.7606147476632033
ModelSet,LLM(NL),0,2,0.7512480261143217
ModelSet,LLM(NL),0,3,0.7471012653093914
ModelSet,LLM(NL),0,4,0.7524983315557361
ModelSet,LLM(NL),0,5,0.748750360605643
ModelSet,LLM(NL),0,6,0.762171288494169
ModelSet,LLM(NL),0,7,0.7574954957651809
